2016-12-28 08:28:22,765 [DEBUG] autotrader.py 37: Starting loginning
2016-12-28 08:28:41,639 [DEBUG] autotrader.py 87: Running started
2016-12-28 08:28:59,638 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:29:17,648 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:29:35,635 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:29:53,639 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:30:11,636 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:30:29,651 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:30:47,652 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:31:05,653 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:31:23,653 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:31:41,654 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:31:59,652 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:32:17,652 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:32:35,651 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:32:53,653 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:33:11,661 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:33:29,651 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:33:47,660 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:34:05,656 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:34:23,655 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:34:41,659 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:34:59,658 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:35:17,657 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:35:35,654 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:35:53,657 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:36:11,659 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:36:29,668 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:36:47,672 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:37:05,670 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:37:23,674 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:37:41,675 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:37:59,673 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:38:17,675 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:38:35,674 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:38:53,671 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:39:11,672 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:39:29,675 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:39:47,672 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:40:05,674 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:40:23,673 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:40:41,675 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:40:59,688 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:41:17,673 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:41:35,673 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:41:53,673 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:42:11,675 [DEBUG] autotrader.py 65: Out of time, pass
2016-12-28 08:42:29,689 [DEBUG] autotrader.py 65: Out of time, pass
